,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
P1,-2.350255966,-1.221843754,-0.551029005,0.284502585,0.779222532,-1.597019047,0.270024262,0.438390366,-2.441831923,-1.801950373
P2,-0.523502851,-0.415479523,1.201189333,1.641768709,2.425932832,-0.83894055,2.769256023,0.580906051,-1.461346056,-1.057799075
P3,1.307354837,0.247631531,0.929655408,2.168465858,1.16348979,-0.386880998,1.751617991,2.091769076,-0.691251898,-1.900919446
P4,-2.009454076,-1.952244221,-0.751089053,-2.174837948,-1.830276851,-2.469613897,-1.770505936,-0.348185776,-3.157713656,-1.817971691
P5,0,0,0,0,0,0,0,0,0,0
P6,-0.332755979,0.073437512,0.62526918,2.064331879,2.713369954,-0.08110172,2.228457107,1.310158983,-0.083559198,-2.209798033
P7,0,0,0,0,0,0,0,0,0,0
P8,-0.737119926,-0.459541824,0.875465086,0.185858947,1.263169643,-0.276989484,1.016453915,1.502404632,-0.008048863,-0.961445805
P9,0,0,0,0,0,0,0,0,0,0
P10,-0.99928725,0.367232803,0.723799621,2.763612178,2.894773522,-0.187999555,1.461081709,2.636491688,-0.596473944,-2.630342583
P11,-0.709981819,-1.276950887,-0.234087785,0.4530629,1.015210031,-1.420607252,0.502137917,-0.044799072,-2.470599832,-1.144274985
P12,0,0,0,0,0,0,0,0,0,0
P13,0,0,0,0,0,0,0,0,0,0
P14,-0.772854935,-0.89315495,0.059167165,0.164720526,1.041678711,-1.023904652,0.889415494,0.188116048,-0.96348128,-1.505508718
P15,-2.33733462,0.52284907,0.485997818,-1.133909784,1.741668128,-1.653339,1.731529323,1.34409258,-1.734511992,-1.704325174
P16,-0.561474581,-0.700694026,0.59357615,1.993154643,2.714633419,-0.340503037,2.53778346,1.22686053,-1.134784353,-2.214272764
P17,-0.152762795,-0.02365599,0.408067265,0.50252396,1.175642134,-0.288731861,2.697786805,0.740311299,0.267086667,-2.060310313
P18,0,0,0,0,0,0,0,0,0,-0.830909537
P19,0,0,0,0,0,0,0,0,0,0
P20,0,0,0,0,0,0,0,0,0,-1.517153096
