Sample,A1 (log),A2 (log),A3 (log),B1 (log),B2 (log),B3 (log)
O76070,28.4093,28.4571,28.4079,24.2764,24.282,24.2039
P01344,27.3634,27.3992,27.4749,24.6298,24.7318,24.6588
P01579,27.4046,27.366,27.3746,23.6266,23.4383,23.6778
P00709,27.1375,27.0455,27.0754,22.8383,23.0267,22.7572
P41159,28.2265,28.144,28.2282,24.4721,24.7233,24.6629
P00918,28.0441,28.0656,28.0349,24.1669,24.5198,24.4695
P01112,26.9536,27.1533,27.1531,23.4578,23.764,23.6991
Q15843,25.8749,25.6757,25.4906,22.0116,21.7826,21.9482
P10636,29.2647,29.3168,29.2429,25.9277,25.5643,25.5549
P04040,29.7079,29.6987,29.8278,24.9581,25.4564,25.5225
P12081,28.7969,28.8339,28.7789,24.4222,24.9855,24.8566
P02144,27.4309,27.4639,27.5381,24.1485,23.7261,23.6476
P15559,27.4422,27.4486,27.5988,23.6527,24.1585,23.724
Q06830,28.1857,28.2873,28.1245,23.8224,24.43,24.2954
P02768,29.8461,29.9038,29.8896,25.7762,26.2516,26.3585
P01375,28.3338,28.3519,28.3996,24.9581,24.3512,24.7432
P06732,28.8598,28.8978,28.8694,24.6027,25.0692,25.2554
P05413,27.3039,27.4669,27.6404,23.9493,24.0425,23.5443
P02788,29.991,29.9647,29.9373,25.3316,25.8393,26.0482
P02787,29.1926,29.1322,29.1461,24.6512,25.1595,25.3434
P00167,27.7759,27.7305,27.7219,23.8352,23.1131,23.6905
P00441,26.5761,26.5309,26.5501,24.086,23.8423,23.5607
P09211,26.3848,26.0768,26.3778,22.0116,22.7098,22.1919
P01031,26.2539,26.1237,26.2428,22.0116,22.7941,22.3462
P06396,29.4061,29.3414,29.3476,25.0856,25.9123,25.7895
P99999,26.5161,26.474,26.6095,22.0116,23.0101,22.4533
P01133,24.8412,24.9231,24.7606,22.0116,21.2633,21.3512
O00762,28.515,28.4535,28.5824,25.6613,24.8875,25.003
P10599,25.7435,25.5902,25.6377,22.0116,22.6009,22.8312
P62979,25.0645,25.1296,24.9955,21.8203,21.8775,22.6858
P55957,27.9058,27.9581,27.8985,22.8932,24.2054,24.138
P01127,26.9927,27.0752,27.1024,22.0116,23.4052,23.2327
P62937,27.1414,26.9434,27.0771,22.0116,22.7538,23.5684
P51965,26.2089,26.2791,26.1772,22.0116,23.2561,23.1307
P61769,26.1714,26.1958,26.3368,22.0116,23.0169,23.3539
P02753,25.9269,25.9823,26.0178,23.7601,23.9609,23.0138
P63279,26.3766,26.5599,26.6012,22.0116,23.3789,23.4233
P16083,28.8352,28.783,28.8401,23.6075,25.19,25.5405
P02741,26.55,26.1955,26.1911,22.0116,22.8024,23.7465
P01966,24.8776,24.5865,24.8606,22.0116,21.5976,20.2865
P01008,28.7781,28.8451,28.8007,22.0116,24.4639,24.4176
P61626,27.6081,27.5635,27.6144,22.0116,24.4287,22.8632
P63165,27.8921,27.8502,27.9317,22.0116,24.1825,24.1687
P08758,28.9338,28.962,28.869,22.0116,24.8459,24.6313
P10145,26.2364,26.645,26.5949,22.0116,24.141,23.1527
P68871,28.0204,27.9477,28.0002,22.0116,24.8444,25.0022
P00915,27.536,27.5926,27.5489,26.172,23.0349,23.8177
P08263,26.1756,26.2464,26.47,22.0116,25.1314,24.539
A6ZRR2;B3LP25;C7GTE8;C8ZG55;P53885,21.8488,21.8907,21.8201,19.6993,19.6519,19.6569
P22147,18.6836,18.829,19.3235,22.0116,21.964,21.9482
P01098,22.3587,22.6598,22.7405,21.414,21.426,21.5221
P04050;P10964,22.7625,22.9101,22.8945,22.0116,21.7764,21.6491
P49573,20.2514,20.053,19.8544,21.297,21.1057,21.3062
P0C0T4;Q3E792,25.7021,25.5804,25.4666,24.3148,24.914,24.4811
O43137,21.8488,22.9961,21.8201,23.321,23.3645,23.3542
A6ZZ25;Q04067,22.9267,21.6339,23.0997,23.8231,23.7239,23.5904
P07143,23.493,23.6089,23.5234,22.0116,23.0826,22.9982
Q06494,19.9942,20.379,20.2369,22.0116,20.0491,21.9482
P32179,18.8331,18.3101,18.7883,22.0116,21.964,18.2741
P47137,23.4185,23.2591,23.3162,22.0116,21.964,23.492
P38760,23.7367,23.58,23.4157,20.4201,23.0452,23.2123
P41056,24.0319,23.8083,24.0299,22.0116,24.4996,21.9482
P40395,24.12,23.943,23.73,22.0116,24.5821,21.9482
P27476,22.8836,20.7457,23.1042,22.3246,21.3945,20.2956
P42945,26.239,26.2159,21.8201,26.0455,26.0994,26.2075
P40024,24.4886,24.78,24.7217,22.0116,24.5007,25.0413
P52488,24.987,24.9972,24.9572,22.0116,25.2576,25.1359
P39073,24.9086,25.0913,24.904,22.0116,25.1705,25.2213
P41058,24.8163,25.1028,25.163,24.163,24.3055,24.2458
Q00711,23.5201,23.7676,23.9368,22.0116,23.3411,23.5467
P53849,22.34,23.1554,23.2582,22.0116,22.2832,22.1755
P11986,21.8488,21.8907,21.8201,21.0262,21.0468,21.2456
Q04338,21.8488,21.8907,21.8201,22.6737,23.5386,22.4436
P41057,25.1606,23.9868,25.237,23.0587,24.5886,24.5801
P37898,24.4876,24.5213,24.5815,22.0116,24.8007,24.6401
P0CX80;P0CX81,25.6313,25.5622,25.5646,22.5657,26.0358,26.0402
P0C0W1;Q3E7Y3,26.012,26.0718,26.0619,26.4899,27.9849,26.6288
P26755,21.9382,22.1923,21.8073,22.5386,23.1799,23.0662
P32645,23.3164,23.4237,23.4525,22.5805,22.8387,22.8017
P16451,21.8258,22.0019,21.9813,21.2391,21.376,21.2409
Q12532,20.8511,21.1106,20.914,21.4961,22.5724,21.6164
P53852,24.755,24.5271,24.8027,22.0116,24.8198,25.3343
P0CX29;P0CX30,25.4434,25.8441,25.4459,27.1328,26.194,26.1345
P38066,20.5926,21.8907,20.5786,20.398,20.3244,20.6029
Q12464,23.729,23.794,23.7019,22.0116,23.9225,23.5603
Q99383,20.5312,21.2228,21.0974,22.0116,21.3244,22.1037
P38216,19.3423,19.3992,19.422,22.0116,19.4575,19.2626
P11491,24.1228,24.0905,24.1598,23.0296,23.625,24.0278
P38886,23.8971,23.8068,23.7892,22.0116,23.8238,23.9802
P38791,21.8488,21.8907,21.8201,21.2339,21.1825,21.4698
P15274,20.9885,20.2218,20.075,20.8546,21.964,20.9971
P14120,26.0146,26.0108,26.0137,25.4528,25.4104,25.5118
Q06440,20.8849,20.6227,20.6076,21.5064,21.6183,21.4706
Q04336,20.1715,20.245,20.4152,22.0116,20.9144,20.3725
P35844,23.3377,23.3266,23.4278,22.7896,22.7825,22.9237
Q05785,20.6648,21.8907,21.8201,20.7919,21.0615,20.9304
P43621,23.1621,22.7695,21.8201,23.2663,23.4268,23.5047
P39935,25.0858,25.0609,25.1768,24.1606,24.7177,24.8784
Q12117;P38079,22.446,22.2912,22.171,22.0116,23.7048,23.6129
P32521;A6ZVS5,22.8515,22.5775,22.9671,22.3918,22.0559,22.3952
P32445,22.54,22.769,22.9177,22.2082,22.0112,22.4613
P39926,22.5385,22.7055,22.5112,22.2167,21.6024,22.4252
P32366,23.4871,23.8534,23.638,22.0116,23.7896,23.6735
P00045,22.0509,21.8143,22.2603,22.0116,21.2583,21.3894
Q08723,23.7693,23.9634,24.0751,22.0116,24.192,24.1851
O14467,22.6852,23.1375,23.266,22.0116,22.9103,22.7498
P05747,21.8488,15.8104,21.8201,19.8067,19.417,18.8537
P54885,23.3232,23.3433,23.4026,22.8965,22.8484,22.9644
P38892,24.2443,24.1386,24.2414,24.523,25.1548,25.1504
A6ZPY2;P47089,21.805,21.8904,21.8224,22.5649,22.7881,22.3588
P38197,21.8895,21.7844,21.9703,22.7209,22.4048,22.6542
A6ZKM4;P38182,23.7664,23.5922,23.7737,22.0116,24.0976,23.7562
P16550,25.0157,24.9489,24.9977,25.8025,25.679,25.5901
Q08985,23.7977,23.7444,23.7211,22.0116,24.1168,23.9119
Q08245,28.0374,28.1603,28.1278,27.4822,27.8676,27.7531
P38295,21.7473,21.5089,21.3564,22.3134,22.2924,22.0849
Q07653,18.3151,17.459,17.6491,22.0116,17.001,16.4869
P39101,22.7807,21.8907,21.8201,22.9906,22.7741,22.8029
P22336,21.0124,20.9152,21.0473,22.0116,21.6897,21.3412
A7A0X4;B3LT39;B5VN01;P25039,22.6809,23.2687,23.4003,22.5462,22.8308,22.7765
P12688;P18961,22.3827,22.4759,21.4962,22.8722,22.668,22.8606
P11353,23.5248,24.5879,23.4544,23.3913,23.5055,23.4919
A6ZP43;Q08601,20.8342,21.3297,20.755,22.0116,21.964,20.9858
P25631,21.1758,20.9543,21.12,22.0116,21.4768,21.7646
P47124,23.9929,23.8955,24.0028,22.0116,24.3409,24.4045
Q06252,24.4437,23.8982,24.1766,24.7979,24.8699,24.8455
A7A1I2;B3RHI0;C7GVT8;C8ZDR4;E7NKW8;E7Q714;E7QIA1;Q05905;E7KFU6;E7LXU7;E7KS00,23.4415,23.4342,23.279,22.0116,23.583,23.4339
P07278,23.9589,23.6464,23.7823,22.0116,24.1153,24.1475
Q6Q547,21.1846,20.9654,21.0252,20.5995,20.6984,20.7947
P36017,22.7838,22.5643,22.7247,23.1806,23.7026,23.096
P39103,18.0575,17.5588,17.4174,18.2325,17.9966,18.6894
P50861,27.0985,27.2644,27.2304,26.6109,26.9583,27.0049
Q12428,23.891,23.5869,23.7755,22.0116,24.0881,24.1458
P34730,25.6485,25.6563,25.8087,25.3235,25.4229,25.4079
A6ZPJ1;P06103,23.6154,23.5425,23.531,22.0116,23.7669,23.9526
P47079,22.8418,23.0803,22.759,22.0116,22.8594,22.8525
P00424;P00425,21.3675,21.4143,21.1621,21.8711,22.172,21.7221
P05755,22.5981,22.6239,22.7757,22.2532,22.3935,22.4055
P32867,21.3604,21.6113,21.8394,22.0116,20.8926,20.9693
P38717,23.8417,23.8977,23.8895,23.6564,23.5498,23.498
P53281;REV__P40040,22.9521,22.7876,23.1645,23.542,23.4705,23.6802
P36136,23.6852,23.9549,23.4618,23.9458,24.3926,24.5513
P38810,20.447,20.9338,20.6718,20.6015,20.2413,20.2901
P32468,20.9597,20.6699,20.9198,22.0116,21.0051,21.3117
P29704,21.5599,21.6377,21.6018,22.0116,20.3452,21.5315
P07275,23.2073,23.3569,23.1239,22.0116,23.4033,23.364
P21304,20.6494,21.0137,21.1317,20.5883,20.4966,20.8114
P39976,23.3527,23.1565,22.6287,23.1733,23.839,23.8887
P52553,22.7082,22.5622,22.7166,23.2424,23.168,23.327
P32602,22.297,22.3951,22.2286,22.9234,22.8397,22.8851
P38061,27.1532,27.2357,27.1337,26.6315,26.9978,27.0337
P53731,24.2431,24.0486,23.827,23.3295,23.9765,23.9619
P15700,22.6893,22.5235,22.8066,22.0116,22.5599,22.6119
P24000;P04449,27.0635,27.1553,27.1802,26.8039,26.8516,26.9122
A6ZRZ6;P39013,22.0066,22.3214,22.2819,22.9263,22.7678,22.6033
P36018,21.773,21.7754,21.4873,22.0116,22.618,22.076
P53549,22.97,22.832,23.0983,23.2716,24.171,23.1264
P46969,21.9227,22.1268,21.8818,21.6373,21.8525,21.6491
P32563,23.5254,23.6024,23.3688,24.0829,23.8526,24.2007
Q02486,23.8121,23.8504,23.8021,23.6685,23.5134,23.5127
P39966,21.4455,21.5144,21.3383,22.0116,21.964,21.9482
P35723,22.9474,22.9314,23.0127,22.0116,23.0789,23.0471
P18562,25.0076,25.2076,25.0614,24.4673,25.0002,25.0615
P0CW40;P0CW41;Q08295,20.4181,20.3717,20.4554,19.9985,20.244,20.2758
P25356,21.3555,21.183,21.6439,21.9972,21.824,21.9481
Q12091;P47104,23.2329,23.3588,23.0897,22.72,22.8762,23.3656
P53914,20.8105,20.8528,20.7687,22.0116,20.9975,21.0068
P30656,23.0241,22.9925,22.2985,23.1995,23.3951,23.3033
P41811,24.1929,24.0977,24.0568,24.7753,24.6307,24.5041
P53111,22.9236,23.008,22.9312,22.0116,23.0482,23.1072
P39938;P39939,27.2811,26.765,26.5411,27.247,27.3811,27.5165
P38628,24.1765,24.1355,24.4533,24.0664,23.962,24.0475
P17536,26.0835,26.2638,26.344,26.1114,25.9636,25.9287
P28319,21.7801,22.0382,21.9825,21.7971,21.7393,21.5815
Q03862,22.9407,22.8945,22.9315,22.0116,22.9982,23.0952
Q00055,25.4506,25.4831,24.9788,25.1152,25.0165,25.1218
P40215,21.8193,21.6585,21.8198,21.5881,21.5883,21.4637
P46784;Q08745,26.9133,26.9103,27.0171,26.619,26.7613,26.8035
P53235,23.1247,23.5098,23.6538,22.6521,23.4947,23.4848
P53081,22.7289,22.9193,23.0132,22.7087,22.7423,22.5632
P01123,22.5183,22.7554,22.7221,21.9967,22.5916,22.7682
Q04341,23.0356,22.9288,22.9122,23.3903,23.5865,23.397
P32074,25.641,25.387,25.4585,25.2033,25.341,25.3143
P14907,21.6185,20.8037,21.5761,22.0116,21.655,21.8183
P33734,22.6458,22.5054,22.5866,22.0116,22.5754,22.5367
P38264,23.2716,23.45,23.338,23.8312,23.8142,23.8928
P09733,24.3878,24.359,24.3874,24.9564,24.7957,24.8568
P07274,25.7782,25.8128,25.7801,26.1729,26.3327,26.3336
A6ZRW3;P07213,23.3557,23.6842,23.5953,23.9534,24.246,23.9027
Q12680,21.2102,21.6301,21.6183,22.0116,21.964,21.9482
P32476,23.6281,23.0284,23.9675,23.278,23.3414,23.4067
Q12349,21.8509,21.987,21.9827,21.5775,21.9226,21.7253
P21734,21.9027,22.1348,21.6219,22.0543,22.6201,22.4431
P42943,22.9023,22.5823,22.8025,22.0116,22.7691,22.9223
P38143,22.331,22.4441,22.2678,22.0116,22.4155,22.0346
P22202,24.7261,24.6586,24.6745,23.9939,24.5913,24.8978
P27616,22.945,23.0275,23.2791,23.5807,23.6327,23.4768
P05749,24.932,24.7402,24.8197,25.3133,25.2566,25.3605
Q02785,22.8638,22.6323,22.7284,22.0116,22.897,22.7437
Q02805,22.4535,22.1498,22.4362,22.7483,22.9248,22.8016
P36135;A7A003;B3LRC2;B5VMJ0,24.8564,24.8009,24.8114,25.2815,25.3136,25.3006
Q6Q546,22.3464,21.7388,21.9976,22.0116,21.7948,21.7169
P22943,28.3529,28.4869,28.5099,28.1681,28.3694,28.2533
P53332,21.0947,20.8708,21.165,22.0116,21.3764,21.1647
P05318,27.5062,27.4643,27.5924,27.4507,27.0243,27.5419
P35189,21.28,21.1936,21.0054,21.5373,21.9187,21.4343
Q06523,24.2954,23.5653,23.957,23.762,24.614,24.8503
P25719,24.9925,25.2671,25.2465,25.025,25.0486,24.8927
P20459,24.7155,24.7697,24.6827,25.1081,25.3272,25.1375
P32496,22.4194,22.5376,22.854,22.9293,23.1584,23.1216
P38071,22.9155,22.942,22.817,22.7163,22.9361,22.5003
P40509,23.9289,23.5475,23.5253,23.6449,23.7874,23.0499
P34223,22.3202,22.4419,22.2838,22.0116,22.3511,22.1637
P53173,22.4784,22.924,22.7581,22.0116,22.9781,22.6534
P17555,24.7339,24.7665,24.6853,25.1458,25.2911,25.1307
P21243,24.2815,24.4785,24.0569,24.8849,24.6747,24.6391
Q99258,22.6065,22.5972,22.3738,23.0093,22.9608,22.9879
P31412,24.6531,24.6637,24.5157,25.1084,25.1266,24.9741
P32527,26.543,26.2901,26.3575,26.7723,26.8825,26.8994
P38624,23.4225,23.6126,23.7552,23.4671,23.439,23.3868
P47165,21.4808,21.2718,21.4361,22.0116,21.8482,21.6883
P40991,22.0498,22.2454,22.3011,22.0116,22.1594,21.9317
P36013,21.3688,21.4002,21.1305,21.8267,21.8982,21.531
Q01662,21.8014,21.6638,21.8917,22.2623,22.2542,22.1941
P33399,20.149,19.8943,19.9906,19.9184,19.7658,19.8645
P40414,23.3363,23.2362,23.0938,23.8551,23.7049,23.4559
A6ZPQ6;P40364,22.1166,22.0417,21.9037,22.4068,22.4872,22.5072
P32590,23.0765,23.1289,22.6288,23.3737,23.3287,23.4669
P14126,27.4583,27.4277,27.4658,27.1628,27.4092,27.3108
P00724;P10594;P10596,22.45,22.169,22.3257,22.0116,22.185,22.284
Q08220,22.1673,21.8142,22.5335,22.4821,22.8896,22.4682
P02293;P02294,26.0298,26.0531,25.9648,26.4385,26.4709,26.4576
P05319,27.0384,27.1138,27.0945,26.6451,27.0956,27.0588
A7A261;P43603,21.8488,21.8907,21.8201,22.3948,22.275,22.2003
P00729,25.0688,25.025,25.1118,24.906,24.9036,24.9554
Q04894,24.6694,24.4998,24.6579,24.9621,25.0836,25.0871
Q12513,24.2206,24.2963,24.0296,24.0378,24.0231,24.0469
P0CX51;P0CX52,27.6089,27.7553,27.8336,27.4937,27.5537,27.7141
P00445,29.5678,29.5826,29.5393,29.4204,29.4069,29.4281
P15731;P15732,25.6706,25.7185,25.6483,25.2391,25.4889,25.8801
P32626;A6ZQR2;B3LRX9;B5VH97;C7GKE1,22.4114,22.5754,22.5958,22.2081,22.534,22.4143
P15646,23.6372,23.5379,23.6232,23.7322,23.4425,23.2058
P07702,24.6108,24.4713,24.4476,24.7485,24.7996,25.2612
P38999,25.0299,25.2551,25.4502,24.9414,25.2066,25.175
Q03195,24.472,24.3331,24.3073,24.1301,24.3384,24.2331
Q12408,23.7704,23.7703,23.6637,23.9855,24.0144,24.4644
P00128,24.0719,24.1641,24.193,24.1586,23.9008,23.9769
P47117,25.6078,25.6403,25.6267,24.8491,25.8292,25.8054
P22217,26.5709,26.4395,26.5558,26.9151,26.9618,26.9455
P36421,26.1169,26.3086,26.2519,26.6155,26.74,26.5756
O74700,22.7014,22.7022,22.4421,22.0116,22.6534,22.7924
A6ZMK5;P40217,24.4892,24.6614,24.6222,24.8825,25.181,24.9498
P17649,25.6033,25.6609,25.6447,26.092,25.9923,26.0607
P39077,23.7261,23.5767,23.1415,23.3099,23.4615,23.3031
P38426,22.7057,22.621,22.7777,23.0207,23.2551,23.0618
P38616,24.7769,24.8417,24.6298,25.1034,25.1812,25.194
P33303,21.5959,21.9768,21.0342,22.0174,21.8461,21.9733
P41921,24.51,24.7241,24.6166,24.9913,25.0616,25.0274
P40989;P38631,23.694,23.6913,23.6085,23.3789,23.7794,23.4801
P32608,22.7363,22.2423,22.5676,22.9653,22.9206,22.879
P40086,20.7083,20.8673,20.8538,20.5362,20.79,20.751
P07560,23.8355,23.8615,23.9565,23.8129,23.7957,23.6929
P53599,23.9937,24.0701,24.0329,24.3719,24.4244,24.5174
P10080,25.8768,25.8232,25.6998,26.2311,26.1571,26.2248
P53297,22.5688,22.4561,22.3103,22.9507,22.723,22.8709
P39107,21.2877,21.0468,20.8914,22.0116,21.0718,21.3473
P37302,25.5296,25.6411,25.643,25.5089,25.5168,25.4487
P00815,25.4171,25.4019,25.453,25.7743,25.8458,25.8551
P38555;P51996,22.9511,23.239,23.2641,23.3719,23.7785,23.4995
Q02201;P38755,21.5085,21.3925,21.3059,22.1706,21.7465,21.4847
A6ZNQ1;P20449,22.2664,22.355,22.4407,22.0116,22.3326,22.3891
P39078,22.1337,22.2336,22.3799,22.1814,22.1205,22.1167
P16547,24.6124,24.6394,24.5823,24.4562,24.4493,24.6009
P39533,23.0621,22.99,22.8993,23.2992,23.3872,23.4566
Q06151,25.2109,25.0687,25.0476,25.4094,25.5683,25.5387
