Celline, MCF7, T47D, ZR751, AU565, BT474, SkBr3, BT20, HCC1143, HCC1806, HCC1937, HCC70, MB468, BT549, HCC1395, Hs578t, MB157, MB231, MB436
Q09666,0.054252786,1.046012546,0.050212084,-0.09546436,-0.164522576,0.233302956,-0.35031378,0.074890607,-0.231559133,-0.113197863,-0.445573299,-0.28427515,-0.604311323,-0.050212084,0.617745986,0.306690347,1.095525051,0.498698715
Q15149,-0.393971729,-0.417598423,0.154993969,-0.679799711,-0.768731806,-0.457772547,0.137164861,-0.045297634,0.417010663,0.801452388,-0.054878856,-0.813531606,-0.038877382,1.329412817,0.226342763,0.047871091,0.513301342,0.038877382
Q15149-3,0.728364507,0.388788516,0.371643901,-0.321185084,-0.776286715,-0.55711576,0.012661942,-0.210345509,0.531118385,0.564180703,-0.016585671,-0.430212506,-0.038111227,1.497645496,-0.012661942,-0.077157678,0.267525672,0.066026857
Q15149-4,-0.970728409,-0.822118544,-0.303867725,-0.847341526,-0.887154861,-0.885831984,0.375150502,0.15304715,0.562919139,0.645679742,0.018007358,-0.798330332,-0.018007358,1.555791092,0.380324045,0.047048386,0.957014055,-0.368742538
Q15149-8,1.427666918,1.477499674,1.186766667,0.123335758,0.452309186,-0.013867828,-0.266895594,-1.074973245,-0.9996877,0.765462558,-0.090425165,-0.334920988,0.996603898,-0.755604633,-0.974335553,-1.000760839,0.013867828,0.532359513
Q15149-6,-0.559071235,NA,0.339097792,NA,0.135064936,NA,NA,-0.027605692,NA,NA,-0.08905423,0,-0.001896323,1.186642812,NA,NA,0.263756159,NA
Q15149-5,NA,0.182156839,0.600816235,0.190646079,NA,NA,NA,NA,-0.528078559,-0.1862363,-0.400285119,NA,NA,1.901418096,0,NA,NA,-0.277537589
Q14204,-0.156985887,-0.030300849,-0.059038831,-0.309632098,-0.116152382,-0.360069286,0.221961561,0.050225546,-0.088631812,0.234313219,0.030300849,-0.149029141,0.332025088,0.091447794,0.265256254,0.632810844,0.322331699,-0.249248824
H0YDN1,-0.207736712,-0.588462275,0.214623406,-0.943777641,-1.697420657,-1.330317929,0.575740595,-0.186998233,-1.203752874,2.110476684,0.186998233,-2.060640845,-0.884950424,2.190597301,1.692284501,1.151276105,1.536068598,1.153208398
P78527,-0.218565747,0.171621402,-0.060675861,0.022503707,-0.000836911,0.194238026,-0.040003113,0.244268748,-0.264206871,0.178405352,0.072980701,-0.389694738,0.301555943,-0.407086416,0.09293549,-0.084721861,-0.373747444,0.000836911
P35579,-0.83992719,-0.271959094,-0.01853492,-0.200971773,-0.066922935,-0.01402347,0.747636707,1.072794115,-0.134041874,0.01402347,0.643251102,0.177335417,0.85903277,1.002215675,2.071462065,-1.516284075,0.783724009,-0.176378109
A0A0D9SGF6,-0.202777059,-0.121463091,-0.121478536,-0.046600142,-0.351109215,-0.303600558,-0.031043701,0.262534351,0.267615403,0.031043701,0.379004771,0.1703677,-0.512799309,-0.522240524,0.448748175,0.709786345,0.964784516,0.197237061
P21333,0.173580172,NA,-0.592392706,NA,-0.132735367,NA,NA,0,NA,NA,-0.203034416,0.042196564,0.476695351,0.369871183,NA,NA,-0.011574693,NA
P21333-2,0.01435083,-0.907106202,-0.735562562,-1.527250015,-0.567545339,-1.228249021,0.60454194,-0.166078205,-1.016031676,-0.717592823,-0.01435083,0.591286738,1.056746445,0.722027339,1.052469532,0.537586495,0.292604199,0.993253736
