protein,kidneyTisue1,kidneyTisue2,kidneyTisue3,kidneyTisue4,kidneyTisue5,kidneyTisue6,kidneyTisue11,kidneyTisue12,kidneyTisue13,kidneyTisue14,kidneyTisue15,kidneyTisue16,kidneyTisue19,kidneyTisue20,kidneyTisue21,kidneyTisue22,kidneyTisue23,kidneyTisue24,kidneyTisue29,kidneyTisue30,kidneyTisue31,kidneyTisue32,kidneyTisue33,kidneyTisue34
P09110,1.120129404,0.715777566,0.960880911,0.558242735,1.167388523,0.616996063,0.995200608,0.39936486,0.89426352,0.39936486,0.829856613,0.522520214,1.085074841,0.746709502,0.928783153,0.486017939,1.19073084,0.644033685,0.865865379,0.587783245,1.032060587,0.39936486,0.801933518,0.678762599
P05166,0.960880911,0.678762599,1.032060587,0.370919238,1.167388523,0.522520214,1.085074841,0.746709502,1.120129404,0.715777566,0.928783153,0.486017939,0.88006445,0.644033685,0.995200608,0.370919238,1.19073084,0.587783245,0.829856613,0.558242735,0.801933518,0.616996063,0.88006445,0.455244722
Q96RP9,0.829856613,0.504269076,0.89426352,0.504269076,1.085074841,0.504269076,1.19073084,0.644033685,1.120129404,0.504269076,0.801933518,0.715777566,0.865865379,0.504269076,1.032060587,0.678762599,0.960880911,0.504269076,0.746709502,0.504269076,1.167388523,0.504269076,0.995200608,0.928783153
Q15417,0.829856613,0.47063133,0.47063133,0.47063133,0.47063133,1.120129404,0.587783245,0.960880911,0.801933518,1.19073084,0.644033685,0.715777566,0.678762599,1.167388523,0.47063133,0.47063133,0.746709502,1.085074841,0.616996063,0.928783153,0.995200608,1.032060587,0.89426352,0.865865379
Q96FQ6,0.522520214,0.995200608,0.522520214,1.167388523,0.522520214,0.928783153,0.678762599,0.522520214,0.746709502,1.120129404,0.715777566,0.865865379,0.522520214,1.032060587,0.522520214,1.19073084,0.829856613,0.960880911,0.522520214,0.522520214,0.801933518,1.085074841,0.522520214,0.89426352
P62820,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,1.032060587,0.678762599,0.678762599,1.19073084,0.678762599,1.167388523,0.678762599,0.678762599,0.678762599,1.120129404,0.678762599,1.085074841
P27169,0.540381474,1.085074841,1.167388523,0.746709502,0.540381474,0.829856613,0.540381474,1.19073084,0.540381474,0.960880911,0.865865379,0.715777566,0.540381474,1.032060587,0.540381474,0.801933518,0.540381474,0.89426352,0.540381474,1.120129404,0.540381474,0.995200608,0.928783153,0.540381474
Q9UL46,0.486017939,0.928783153,0.715777566,1.167388523,0.455244722,1.120129404,0.616996063,1.085074841,0.644033685,0.960880911,0.678762599,0.829856613,0.522520214,0.995200608,0.746709502,1.19073084,0.587783245,1.032060587,0.342473616,0.88006445,0.39936486,0.88006445,0.558242735,0.801933518
P08237,0.746709502,0.558242735,0.865865379,0.558242735,0.97804076,0.558242735,1.085074841,0.558242735,1.120129404,0.558242735,0.89426352,0.558242735,1.19073084,0.558242735,0.801933518,0.558242735,0.97804076,0.558242735,1.032060587,0.558242735,1.167388523,0.829856613,0.928783153,0.558242735
P04040,1.120129404,0.587783245,0.89426352,0.342473616,0.928783153,0.801933518,1.167388523,0.644033685,0.960880911,0.522520214,0.746709502,0.455244722,1.085074841,0.616996063,0.865865379,0.39936486,1.032060587,0.829856613,1.19073084,0.678762599,0.995200608,0.558242735,0.715777566,0.486017939
Q8WYA6,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,1.19073084,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502
Q9H0W9,1.085074841,0.486017939,0.89426352,0.39936486,0.829856613,0.558242735,0.928783153,0.746709502,1.167388523,0.644033685,0.960880911,0.522520214,1.032060587,0.455244722,0.865865379,0.342473616,0.801933518,0.616996063,1.120129404,0.678762599,1.19073084,0.715777566,0.995200608,0.587783245
P31948,0.616996063,0.678762599,0.715777566,1.167388523,0.587783245,0.928783153,0.486017939,0.960880911,0.644033685,1.032060587,0.522520214,0.995200608,0.558242735,0.801933518,0.746709502,1.19073084,0.455244722,0.89426352,0.39936486,0.865865379,0.829856613,1.085074841,0.342473616,1.120129404
O94901,1.032060587,0.678762599,0.678762599,0.678762599,1.19073084,0.678762599,1.085074841,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,1.120129404,0.678762599,0.678762599,0.678762599,1.167388523,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599
Q99714,0.801933518,0.644033685,0.865865379,0.39936486,1.167388523,0.522520214,1.058567714,0.678762599,0.928783153,0.342473616,0.960880911,0.746709502,0.89426352,0.455244722,0.829856613,0.587783245,1.19073084,0.486017939,1.120129404,0.616996063,1.058567714,0.558242735,0.995200608,0.715777566
Q15833,0.678762599,1.120129404,0.746709502,0.960880911,0.829856613,0.39936486,0.522520214,0.678762599,0.558242735,0.39936486,0.678762599,0.486017939,0.616996063,1.19073084,0.995200608,0.587783245,0.928783153,0.39936486,0.865865379,1.058567714,0.801933518,1.167388523,0.89426352,1.058567714
