From,UniprotID,Reviewed,Entry Name,Protein names,Gene,Organism,Length,Uniprot_Gene
PGA3,P0DJD8,reviewed,PEPA3_HUMAN,Pepsin A-3 (EC 3.4.23.1) (Pepsinogen-3),PGA3,Homo sapiens (Human),388,P0DJD8_PGA3
PGA3,F5GXL4,unreviewed,F5GXL4_HUMAN,Pepsinogen A3 (Pepsinogen A4),PGA3 PGA4,Homo sapiens (Human),234,F5GXL4_PGA3
PGA3,F5H0H6,unreviewed,F5H0H6_HUMAN,Pepsinogen A3 (Pepsinogen A4),PGA4 PGA3,Homo sapiens (Human),128,F5H0H6_PGA3
PGA3,F5H842,unreviewed,F5H842_HUMAN,Pepsinogen A3,PGA3,Homo sapiens (Human),265,F5H842_PGA3
PGA4,P0DJD7,reviewed,PEPA4_HUMAN,Pepsin A-4 (EC 3.4.23.1) (Pepsinogen-4),PGA4,Homo sapiens (Human),388,P0DJD7_PGA4
PGA4,B7ZW10,unreviewed,B7ZW10_HUMAN,pepsin A (EC 3.4.23.1),PGA4,Homo sapiens (Human),388,B7ZW10_PGA4
PGA4,B7ZW16,unreviewed,B7ZW16_HUMAN,pepsin A (EC 3.4.23.1),PGA4,Homo sapiens (Human),388,B7ZW16_PGA4
PGA4,F5GXL4,unreviewed,F5GXL4_HUMAN,Pepsinogen A3 (Pepsinogen A4),PGA3 PGA4,Homo sapiens (Human),234,F5GXL4_PGA4
PGA4,F5H0H6,unreviewed,F5H0H6_HUMAN,Pepsinogen A3 (Pepsinogen A4),PGA4 PGA3,Homo sapiens (Human),128,F5H0H6_PGA4
PGA5,P0DJD9,reviewed,PEPA5_HUMAN,Pepsin A-5 (EC 3.4.23.1) (Pepsinogen-5),PGA5,Homo sapiens (Human),388,P0DJD9_PGA5
PGA5,B7ZW66,unreviewed,B7ZW66_HUMAN,pepsin A (EC 3.4.23.1),PGA5,Homo sapiens (Human),388,B7ZW66_PGA5
PGA5,C9JM59,unreviewed,C9JM59_HUMAN,Pepsinogen A5,PGA5,Homo sapiens (Human),234,C9JM59_PGA5
PGA5,F5GWT0,unreviewed,F5GWT0_HUMAN,Pepsinogen A5,PGA5,Homo sapiens (Human),128,F5GWT0_PGA5
PGC,P20142,reviewed,PEPC_HUMAN,Gastricsin (EC 3.4.23.3) (Pepsinogen C),PGC,Homo sapiens (Human),388,P20142_PGC
PGC,A2A3L9,unreviewed,A2A3L9_HUMAN,Progastricsin,PGC,Homo sapiens (Human),86,A2A3L9_PGC
PGC,Q4VXA6,unreviewed,Q4VXA6_HUMAN,Progastricsin,PGC,Homo sapiens (Human),139,Q4VXA6_PGC
BACE1,P56817,reviewed,BACE1_HUMAN,Beta-secretase 1 (EC 3.4.23.46) (Aspartyl protease 2) (ASP2) (Asp 2) (Beta-site amyloid precursor protein cleaving enzyme 1) (Beta-site APP cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2),BACE1 BACE KIAA1149,Homo sapiens (Human),501,P56817_BACE1
BACE1,A0A024R3D5,unreviewed,A0A024R3D5_HUMAN,Beta-secretase 1 (EC 3.4.23.46) (Beta-site amyloid precursor protein cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2),BACE1 hCG_37942,Homo sapiens (Human),457,A0A024R3D5_BACE1
